period_cost,holding,stockout,order,demand,inventory,cumulative_cost
34.5,0.0,15.0,39,54,0,8120.4
31.5,0.0,13.0,37,50,0,8151.9
46.0,0.0,34.0,24,58,0,8197.9
42.5,0.0,24.0,37,61,0,8240.4
29.5,0.0,11.0,37,48,0,8269.9
49.0,0.0,37.0,24,61,0,8318.9
44.5,0.0,25.0,39,64,0,8363.4
41.5,0.0,23.0,37,60,0,8404.9
53.5,0.0,35.0,37,72,0,8458.4
46.5,0.0,28.0,37,65,0,8504.9
56.0,0.0,44.0,24,68,0,8560.9
49.5,0.0,31.0,37,68,0,8610.4
58.0,0.0,46.0,24,70,0,8668.4
45.5,0.0,27.0,37,64,0,8713.9
51.0,0.0,39.0,24,63,0,8764.9
69.0,0.0,57.0,24,81,0,8833.9
47.5,0.0,29.0,37,66,0,8881.4
45.5,0.0,27.0,37,64,0,8926.9
44.0,0.0,32.0,24,56,0,8970.9
52.0,0.0,40.0,24,64,0,9022.9
39.5,0.0,21.0,37,58,0,9062.4
54.5,0.0,36.0,37,73,0,9116.9
48.5,0.0,29.0,39,68,0,9165.4
36.5,0.0,18.0,37,55,0,9201.9
59.0,0.0,47.0,24,71,0,9260.9
43.5,0.0,25.0,37,62,0,9304.4
33.5,0.0,15.0,37,52,0,9337.9
26.0,0.0,14.0,24,38,0,9363.9
54.0,0.0,42.0,24,66,0,9417.9
23.5,0.0,4.0,39,43,0,9441.4
23.5,0.0,5.0,37,42,0,9464.9
38.0,0.0,18.0,40,58,0,9502.9
48.0,0.0,28.0,40,68,0,9550.9
43.5,0.0,24.0,39,63,0,9594.4
40.5,0.0,22.0,37,59,0,9634.9
49.0,0.0,37.0,24,61,0,9683.9
53.0,0.0,41.0,24,65,0,9736.9
47.5,0.0,29.0,37,66,0,9784.4
46.5,0.0,28.0,37,65,0,9830.9
54.0,0.0,42.0,24,66,0,9884.9
55.0,0.0,43.0,24,67,0,9939.9
46.5,0.0,28.0,37,65,0,9986.4
57.0,0.0,45.0,24,69,0,10043.4
49.0,0.0,37.0,24,61,0,10092.4
59.0,0.0,47.0,24,71,0,10151.4
47.5,0.0,29.0,37,66,0,10198.9
46.5,0.0,28.0,37,65,0,10245.4
60.0,0.0,48.0,24,72,0,10305.4
66.0,0.0,54.0,24,78,0,10371.4
54.5,0.0,36.0,37,73,0,10425.9
37.5,0.0,19.0,37,56,0,10463.4
46.0,0.0,34.0,24,58,0,10509.4
55.0,0.0,43.0,24,67,0,10564.4
35.5,0.0,17.0,37,54,0,10599.9
37.5,0.0,19.0,37,56,0,10637.4
39.0,0.0,19.0,40,59,0,10676.4
29.5,0.0,10.0,39,49,0,10705.9
